protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
Syx,Ox_500uM_H2O2,3,1,0.5,5,2305,149,2156,1933,0.2532200630582629,0.39048993353418565,-0.5965018873975707,16.0
Syx,control,3,1,0.5,5,1274,489,785,680,0.21403216515697174,0.37701515570281724,-0.669521097468115,15.0
Syx,500uM_H2O2_30min,3,2,0.5,5,956,516,440,409,0.20663623279587529,0.33242433123943843,-0.6847935244251244,16.0
Syx,Ox_500uM_H2O2,3,2,0.5,5,697,192,505,443,0.1917503226650946,0.2938868835214958,-0.7172638965755802,15.0
Syx,control,3,2,0.5,5,2261,484,1777,1588,0.19516688458805065,0.31788277339109694,-0.7095945480458893,16.0
Syx,500uM_H2O2_30min,3,3,0.5,5,1735,416,1319,1159,0.22908836505311583,0.3760556213678812,-0.6399969672119235,16.0
Syx,Ox_500uM_H2O2,3,3,0.5,5,1018,574,444,394,0.21737242600839107,0.4023411720089276,-0.662795565756093,16.0
Syx,control,3,3,0.5,5,1238,336,902,807,0.24584079740388534,0.4097553978132633,-0.6093460440812193,16.0
SNAP25,500uM_H2O2_30min,1,1,0.5,10,2601,462,2139,2039,0.44375858911653493,0.6932920147943346,-0.3528532279203638,16.0
SNAP25,Ox_500uM_H2O2,1,1,0.5,10,2801,418,2383,2284,0.466856643771085,0.7430592717438127,-0.3308165198801766,16.0
SNAP25,control,1,1,0.5,10,2334,379,1955,1860,0.4630281188155483,0.6724017512513766,-0.3343927340617512,17.0
SNAP25,500uM_H2O2_30min,1,2,0.5,10,1295,766,529,481,0.6006535445350465,1.2578388058341459,-0.22137595575409266,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.5,10,1023,272,751,715,0.5184095870984999,0.8519970660810635,-0.28532697552967723,17.0
SNAP25,control,1,2,0.5,10,1704,361,1343,1282,0.5109572866225526,0.7175127302686651,-0.29161545603366423,17.0
SNAP25,500uM_H2O2_30min,1,3,0.5,10,1354,166,1188,1115,0.3940322674320066,0.5905384614122701,-0.40446821220015644,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.5,10,1487,254,1233,1176,0.40974264084967793,0.5643737525448036,-0.38748899330423026,18.0
SNAP25,control,1,3,0.5,10,1821,338,1483,1404,0.4370331643444162,0.6526820440332926,-0.35948560579970235,17.0
SNAP25,500uM_H2O2_30min,2,1,0.5,10,2890,934,1956,1848,0.5524149674298111,0.955376597922295,-0.2577345634336261,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.5,10,4794,1106,3688,3538,0.5678569619522592,0.8644030898556695,-0.24576106812901352,15.0
SNAP25,control,2,1,0.5,10,4368,954,3414,3276,0.5209758572305784,0.7806952558092225,-0.2831824073293253,16.0
SNAP25,500uM_H2O2_30min,2,2,0.5,10,2378,897,1481,1397,0.6602181529262686,1.328327826508129,-0.18031253876468165,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.5,10,2720,953,1767,1703,0.6860683058092678,1.2194157390344023,-0.16363264324475846,16.0
